3-D Printing Club,Tech;Engineering
Clarinet Club,Music
Classical and Ancient Mediterranean Club,Cultural
Clown Nose Club,Community
Club Gero,THON
Club Kickball,Sport
Club Wiffleball,Sport
Coalition for Christian Outreach,Religion
Coalition of LGBTQ and ally Graduate Students,Community
Coaly Society,Agricultural
Coffee Club,Hobby
College Democrats,Political
College Diabetes Network Chapter at Penn State,THON
College Independents,Political
College of Communications Peer Mentors,Community
College of Education Graduate Student Council,Educational
College Of Education Student Council,Educational;
College of Health and Human Development Ambassadors,Health
College Republicans,Political
Colleges Against Cancer,THON
Collegian Street Team,Business
Collegiate 4-H Club,Community
Collegiate Cattlewomen,Agricultural
Collegiate Farm Buraeu,Agricultural
Collegiate Horsemen's Association at Penn State,Agricultural
Colombian American Student Association,Cultural
Common Ground at Penn State,Religious
"Community, Environment, and Development Club",Community
Comparative Literature Club,Arts
Competitive Ballroom and Latin Dance Club,Sport
Competitive Cyber Security Organization,Tech
Comunidad Andina Y Amigos,Cultural
Concert Choir,Music
Concrete Canoe Team,Engineering
Connecting with Cambodia,THON
Cooking and Baking Club,Hobby
Coopers TOwn,Sport
Corporate Control and Analysis,Business
Coporate Control and Analysis,Business
Coporate Innovation and Entrepreneurship Society,Business
Council for Exceptional Children,Community
Council of Commonwealth Student Governments,Community
Council of Lionhearts,THON
Council of Supply Chain Management Professions,Community
Council of Sustainable Leaders,Community
Creative Writing Club,Arts
Crew,Sport
Cricket,Sport
Croquet,Hobby
Cross Country,Sport
Cru,Religious
Cubaniches at Penn State,Cultural
Curling at Penn State,Sport
Cirriculum and Instruction Graduate Student Association,Education
Cycling,Sport
Cystic Fibrosis Club,THON
Dairy Science Club,Agricultural
Dance Alliance,Physical Activity
Dance Dance Maniacs,Physical Activity
Dark Storm Step Team,Physical Acvitvity
Dash,THON
Dear Hero Program,THON;Military
Delight Ministries at Penn State,Religious
Delta Chi,Greek
Delta Gamma,Greek
Delta Kappa Epsilon,Greek
Delpha Phi Epilson,Greek
Delta Sigma Iota,Greek
Delta Sigma Phi,Greek
Delta Sigma Pi,Greek
Delta Theta Sigma,Greek
Delta Upsilon,Greek
Delta Zeta,Greek
Derby,Arts;Hobby
Dharma Lions,Religion
Digi Digits,Tech;Bio
Digital Media Group,Tech;Hobby
Disability Studies Student Group,Education
Disc Golf,Sport
Disciplemakers Christain Fellowship,Religious
Distrubted Ledger Society,Tech
DJ and Emcee Club,Music
DMAX Club,Health
Dodgeball,Sport
Dominican Student Association,Cultural
Dream Lab for the Future,Community
ESportbike,Engineering
Eearly Period Studies Group,Educational
Earth and Minteral Science Student Council,Geoscience
Earth and Mineral Sciences Interest House,Geoscience
Earth House,Geoscience
East Halls Residence Assocation,Community
Eberly College of Science Student Council,Community
Eclipse,THON
Eco Action,Political
Eco-Conservation Association,Political
Ecology Graduate Student Organization,Community
Economic Research Analysts,Business;Math
Ecosystem Science and Management Graduate Student ORganization,Community
Ed2010,THON
Educate Today Thrive Tommorow,Educational
Education Poicy Studies Student Association,Educational
Egyptian Student Association,Cultural
EHouse,Community
EDM Club,Music
Elite League of Hospitality in Asia,Business;Cultural
Elohim Bible Study Club,Religious
Emergency Management Club,Business
Emergency Medical Services Association,Medical
Emirates Student Union,Cultural
Empower Orphans,THON
Enactus,Community
Encore,Business
Energy Land Management Society,Business
Energy Marketing Association,Business
Engineering - Consulting Collaborative,Engineering
Engineering and Applied Science Interest House,Engineering;Community
Engineering Grduate Student Council,Engineering
Engineering Leadership Society,Engineering
Engineering Undergraduate Student Council,Engineering
Engineers for a Sustainable World,Engineering
Engineers in Action Penn State,Engineering
Enterprise Risk Management Association,Business
Environmental Resource Management Society,Political
Epsilon Sigma Alpha,Greek
Equestrian,Agricultural
Equine Research Team,Agricultural
Esports Club,Tech;Sport;Hobby
Essence of Joy,Music
Eta Kappa Nu Assocation,Greek
Eta Sigma Delta,Greek
Everyday,THON
Family Service Club,THON
Fanaa,Cultural
Fantasy Football Club,Hobby
Fashion Society of Penn State,Hobby
Fencing,Sport
Field Hockey,Sport
Figure Skating Club,
Filipino Association at Penn State,Cultural
Finance Society,Business
First Gen Advocates,Community
Floor Hockey,Sport
Flute Club,Music
Food Science Club,Agricultural
For the Service,THON
Forensic Science Club at Penn State,Hobby
Forensic Science Interest House,Community
Foto,Community
Foundation for International Medical Relief of Children,THON
Fraternity of Phi Kappa Tau,Greek
French Club,Cultural
Full Ammo Improv Troupe,Hobby;Art
FulPhil-U,Educational
Future Naval Officers Organization,Military
Future of Technology,Tech
Future Opportunies Reached By Mentorship Consulting,Community
Futures,THON
Gamers for Charity,THON;Hobby
Gaming Association,Hobby
Gamma Phi Beta,Greek
Gamma Sigma,Greek
Gamma Tau Phi,Greek
Gamma Theta Upsilon,Greek
Geneq Peer Educators,Educational
Genomix,Educational
Geosciences Club,Geoscience
Geospacial Information Science Coalition,Educational
German Club,Cultural
German Graduate Student Association,Cultural
Ghaam Nation,Sport
Glee Club,Musical
Global Brigades Campus Council,Political
Global Business Brigades,Business
Global China Connection,THON;Cultural
Golbal Entrepreneurship Week Club,Business
Gobal Health Student Outreach Club,Medical
Global Medical Brigades,Medical
Global Water Brigades,THON
Golden Key International Honour Society,Community
Golf,Sport
Graduate and Professional Student Association,Community
Graduate Art Education Association,Arts
Graduate Consulting Club at Penn State,Community
Graduate Research and Innovative Design,Engineering
Graduate Student Association for Visual Culture,Arts
Graduate Student Association in Information Sciences and Technology,Tech
Graduate Students in Communication,Community
Graduate Students in the Department of Geography,Geoscience
Graduate Women in Science,Community
Graduates in International Languages and Literatures,Community
Graduates in Women's Gender and Sexuality Studies,Community
Growth Inernational Volunteer Excursion (GIVE),THON
Guitar Club,Music
Gymnastics,Sport
Habitat for Humanity,THON
HackPSU,Tech
Hands for Hope,THON
Happy Valley Christian community,Religion
Happy Valley Communications,Community
Harmony,Arts;Educational
Harvest Christian Minitry,Religion
Health and Human Development Honor Society,Medical
Health Policy and Administration Club,Medical
HEAL,THON
Hellenic Student Association,Cultural
Her Campus at Penn State,Art
Hershey Kisses for the Cure,THON
Higher Education Student Association,Educational
Hillel,Religion
History Graduate Student Association,Community
Hiome of Hearts,Cultural;Religious
Homecoming,Cultural
Hong KIng Student Association,Cultural
Honor Guard,Military
Hope Here Hope Now,Political
Horticulture Club,Agricultural
Hospitality Financian & Technology Professionals,Tech
Hotel and Restaurant Society,Business
Hotel Sales and Marketing Club,Business
Hotel Restaurant and Insitutional Management Graduate Student Organization,Business
Human Development Family Studies Undergraduate Student Organization,Community
Human Factors and Ergonomics Society,Engineering
Ice Hockey - Womens,Sport
Ice Hockey DII -Mens,Sport
Panhellenic Dance Marathon,THON
Illuminating Engineering Society,Arts;Engineering
Impact,THON
Incarnation Campus Fellowship,Religion
Indian Culture and Lanugage Club,Cultural
Indian Graduate Student Association,Cultural
Indonesian Student Association,Cultural
Indoor Winter Guard,Sport
Industrial/Organizational Psychology Society,Community
Infinity,Community
Information Sciences and Technology Special Living Option,Community
Information Sciences and Technology Student Government,Tech;Community
Informs,Business
Infusion,Physical Activity
Innoblue,Business
Innovative Design Club,Engineering
Insitute of Electrical and Electronic Engineers,Engineering
Institue of Industrial Engineers,Engineering
Insutute of Nuclear Materials Management Student Chapter,Engineering
Instute of Transportation Engineers,Engineering
Interfraternity Council,Community
International Affairs and Debate Association,Political
International Agricultre and Development Student Association,Agricultural
International Agriculture Club,Agricultural
International Business Association,Business
International Christian Fellowship,Religion
International Communication Skills Development Association,Educational
International Education Student Association,Educational
International Hospitality Research Society,Business
International Lifting Organization,Sport
International Society of Explosives Engineers,Engineering
International Student Council,Community
International Student Investment Association,Business
International Tuba Euphonium Association,Music
Invictus,THON
Triota,Community
Iota Nu Delta,Greek
Iranian Student Association,Cultural
IST Consulting Group,Tech
Italian Student Society,Cultural
Jadhoom Fusion Dance Team,Cultural;Physical Acvtivity
Japanese Friendship Association,Cultural
Jazz Educators,Music; Educational
Justice Association,Educational
K-Pop Music and Dance,Dance; Cultural
Kaizen,Business
Kalliope,Cultural
Kappa Alpha Psi,Greek
Kappa Alpha Theta,Greek
Kappa Beta Gamma,Greek
Kappa Delta,Greek
Kappa Kappa Gamma,Greek
Kappa Phi,Greek
Kappa Sigma,Greek
Karate Club,Physical Activity
Kinesiology Club,Physical Activity
Knitivism,Hobby
Korean Graduate Student Association,Business; Cultural
Korean International Club,Cultural
Korean International Student Organization,Cultural
Korean Learning Club,Educational; Cultural
Korean Student Association,Cultural
Korean Student for Christ,Religious
Korean_American Scientists and Engineers Association,"Cultural, Engineering, Chemistry"
Kuwaiti Students Association,Cultural
L.I.F.E House,Health; Community
La Vie,Community
Lacrosse - Mens,Physical Activity; sports
Lacrosse - Womens,Physical Activity; sports
Lambda Chi Alpha,Greek
Lambda Phi Epsilon,Greek
Lambda Sigma Upsilon,Greek
Lambda Theta Alpha,Greek
Landscape Architecture Student Society,Education; Community
Latin American Graduate Student Association,Community; Culture
Latino Caucus,Culture; Politics
Latter-Day Saint Student Association,Religious
Leadership Jumpstart Club,Community
Legacy,Community
Legion of Blue,Sports; Community
Leveraged Lion Capital,Business
Lgbtqa Student Roundtable,Cultural
Liberal Arts Envoy,Business; Education
Liberal Arts Undergraduate Council,Community
Liberty in North Korea,Political
Lion 90.7fm,Music; Business
Lion Ambassadors,Business
Lion Caucus,Political
Lions Against Hunger,Community
Lions for Christ,Religious
Lions for Recovery,Community
Liontech Rocket Labs,Chemistry; Engineering; Tech
Living Music,Music
Loveworld Campus Mility,Religious
"Loving Our Curly, Kinky, and Straight Hair",Community
Lunar Lion,Engineering; Chemistry; Tech
Lutheran Student Community,Religious
Lyrical Line Dance Company,Physical Activity
MACC Program Student Association,Community
Malaysian Students Club,Culture
Management Information System Associatoin,Tech
Marine Science Society,Biology
Martial Arts Group,Physical Activity
Martin Luther King Jr Commemoration Committee,Culture
Materials Research Society,Chemistry; Education
Math Club,Education; math
Mathematics Education Student Group,Education; math
Meetings and Events Club,Education
Men in Nursing,Education
Mexican-American Student Association,Culture
Middle East and North Africa Business Society,Culture; Business
Millenium Society,Community
Mine Rescue Team,Education; Engineering
Minorities in Agriculture and Natural Resources,Culture; Agriculture
Mission On,THON
Mobile Game Club,"Tech, Education"
Mock Trial Association,Education
Model Railroad,Hobby
Modernist Studies Graduate Student Organization,Education
Mahona-Bangladesh Cultural Club,Culture
"Molecular, Cellular, and Integrative Biosciences Graduate Student Association",Chemistry; Biology; Education
Monarch,THON
Mortar Board,Community
Movin' On,Music
Mu Sigma Upsilon,Greek
Multicultural Engineering Graduate Association,"Culture, Engineering"
Multicultural Greek Council,"Greek, Culture"
Multicultural Undergraduate Law Association,"Culture, Law"
Multicultural Women's Forum,"Culture, Community"
Music Service Club,Music
Muslim Students Association,Religion
National Association for Music Educators,Education
National Association for the Advancement of Colorord People,Community
National Association of Asian American Professional,"Culture, Business"
National Association of Black Accountants,"Culture, Business"
National Association of Home Builders,Business
National Council of Negro Women,"Culture, Community"
Naational Electrical Contractors Association,Business
National Honor Society of Dance Arts,Arts
National Organization for Business and Engineering,Business; Engineering
National Organization for the Professional Advancemen4t of Black Chemists and Engineers,"Culture, Chemistry,"
National Organization of Minority Architecture Students,Business; Culture
National Panhellenic Council,Greek
National Residence Hall Honorary,Community
National Security Club,Politics
National Society of Black Engineers,Engineering; Cultural
National Society of Collegiate Scholars,Education
National Society of Leadership and Success,Community; Education
National Society of Minorities in Hospitality,Culture; Business
National Student Speech Language Hearing Association,Culture; Community
Natya,Dance; Cultural
Navigators,Religious
Nepalese Society,Culture
Net Impact,Community
New Life Student Fellowship,Religious
Newman Catholic Student Association,Religious
Nexus,"Tech, Education"
Nittany 50/50,Community
Nittany Band Association,Music
Nittany Chemical Society,Chemistry
Nittany Consulting Group,Business
Nittany Data Labs,Tech
Nittany Divers Scuba Club,Hobbies
Nittany Grotto Caving Club,Hobbies
Nittanyville Coordination Committee,Community
No Lost Generation at PSU,Religious; Political
No Refund Theatre,Arts
Non Profit Portrait Photo Studio,Business
None of the Above,Community
North Halls Association of Students,Community
Nritya,Dance
Nutrition Graduate Student Association,Education
NWTF Spur Collectors,Hobby
Occupational Therapy Club,Education
Odyssey of the Mind Club,Arts
Off-Campus Student Union,Community
Office of Student Activities,Community
Ohana,THON
Olympic Weightlifting,Physical Activity
Omani Student Association,Culture
Omega Chi Epsilon,Greek
Omega Chi Sigma,Greek
Omega Delta Sigma,Greek
Omega Phi Alpha,Greek
On My Honor,Community
Operation Blue and Gold,Community
Operation Smile,Community
Opulence,Arts
Orchesis Dance Company,Arts; Physical Activity
Oriana Singers,Music
Orthodox Christian Fellowship,Religious
Ours to Change,Community
Out and Allies in Business,Business; LGBTQ
"Out in Science, Technology, Engineering and Mathematics",Business; LGBTQ
Outcast Dance Team,Arts
Outdoor Volleyball Club,Physical Activity
Outing,Outdoors; Physical Activity
Outreach 360 at PSU,Community
Pa-Sul Korea,Culture
Paintball Association,Physical Activity
Painting Club,Arts; Hobbies
Pakistani Students Association,Culture
Pakistant Students Association of Graduates and Professionals,Culture
Pan-African Professional Alliance,Culture; Business
Panhellenic Council,Greek
Panorama,Community
Paranormal Research Society,Hobbies
Park Avenue Army,Community
Parkinson's Foundation,Health
Parmi Nous Society,Community
Passion with a Purpose,Community
Penn State - Structural Engineers Association,Business
Penn State American Marketing Association,Business
Penn State Billiards Club,Hobby
Penn State Chapter of Material Advantage,Community
Penn State Horn Society,Music
Penn State Investment Association,Business
Penn State Lion Scouts,Hobby; Community
Penn State Marines Association,ROTC; Community
Penn State Monty Python Society,Arts; Community
Penn State Network Television,Business; Arts
Penn State Piano Club,Arts; Hobby
Penn State Reproductive Research Team,Tech; Education
Penn State Robotics Club,Tech
Penn State Students in Russian,Culture
Penn State Taiko Club,Culture
Penn State University Spikeball Roundnet Club,Physical Activity
Pennem,Community
PennHarmonics,Music
Pennsylvania Art Education Association,Arts; Education
Pennsylvania Governor's School for Excellence in the Agricultural Sciences Alumni,Education
Pennsylvania State University Economics Association,Education
Percussion Club,Music
Performing Arts Council,Arts
Performing Musicians,Arts
Phi Alpha Delta Law Fraternity International,Business; Greek
Phi Beta Lambda,Greek
Phi Chi Theta,Greek
Phi Eta Sigma,Greek
Phi Gamma Delta,Greek
Phi Gamma Nu,Greek
Phi Kappa Psi,Greek
Phi Kappa Sigma,Greek
Phi Kappa Theta,Greek
Phi Mu Alpha Sinfonia,Greek; Music
Phi Sigma Kappa,Greek
Phi Sigma Sigma,Greek
Phi Tau Sigma,Greek
Philanthopic Fantasy Sports,THON
Philosophy Graduate Students Organization,Education
Philosophy in Conversation,Community
Photography Club,Arts
Phroth,Arts
Physics and Astronomy for Women,Tech
Pi Beta Phi,Greek
Pi Delta Psi,Greek
Pi Kappa Phi,Greek
Pi Mu Mu,Greek
Pi Sigma Alpha,Greek; Political
Pideo,Community
Pillar,Community
Pink Panther Modelling Team,Arts
Planned Parenthood Generation Action,Political
Plant Pathology Association,Biology
Pokemon Society,Hobby
Polish Student Organization,Culture
Pollock Halls Residence Association,Community
Poultry Science Club,Biology; Agriculture
Powerlifting,Physical Activity
Pre-Dental Society,Education
Pre-Law Society,Education
Pre-Medical Society,Education
Pre-Optometry Society,Education
Pre-Physical Therapy Club,Education
Pre-Physician Assistant Club,Education
Pre-Vet Club,Education
Pregnancy Resource Clinic at Penn Stata,Health
Prime,Community
Print Media Club,Arts
Prism,THON; LGBTQ
Professional Golf Management,Education; Business
Professional Management Association,Business; Education
Project Blue,Community
Project Haiti Student Association,THON
Project: PAWS,THON
Psi Chi - the International Honor Society in Psychology,Educational;Community
PSU Car Club,Engineering;Hobby
PSU Crossfit Club,Physical Activity
PSU Game Design/Development Club,Hobby
PSU Magic the Gathering Club,Hobby
PSUkelele Club,Music
Public Relations Student Society of America,Business
Puerto Rican Student Association,Cultural
Pulsar Search Collaboratory,Engineering
Quants,Business
Queer and Trans People of Color,LGBT
Quidditch Club,Physical Activity;Hobby
Quiz Bowl,Hobby
Racquetball,Sport
Radio Direction Finders,Engineering
Raw Aesthetic Movements,Cultural;Arts
Real Estate Association,Business
Rebuild-U,THON
"Recreation,Park and Tourism Management Student Society",Community
"Recreation,Park,and Tourism Management Graduate Student Association",Community
Red Cell Analytics Lab,Biology
Reformed University Fellowship,Religious
Rehabilitation and Human Services Student Organization,Educational;Community
Remnant Ministry,Religious
Remote Area Medical,Health
Renaissance Club at Penn State,Hobby
Research and Career Development Network for Law and International Affairs,Business;Community
Reve Dance Company,Physical Activity;Arts
Revive at PSU,Religious
Rifle,Sport
Rince Na Leon,Physical Activity;Cultural
Roar Zone,Sport;Community
Roar! Brass Ensemble,Music
Robo X,Engineering
Roller Hockey,Sport
Rugby Football Club - Men,Sport
Rugby Football Club - Women,Sport
Rural Sociology Graduate Associtation,Agricultural
Russian Student Association,Cultural
Sabermetrics Club,Sport;Math
Sailing,Physical Activity
SAP Student Interest Group,Business;Tech
Sapphire Leadership Program,Business;Community
Saudi Arabian Student Association,Cultural
Savoir Faire,Music
Saxophone Alliance,Music
Scandinavian Club at Penn State University,Cultural
School of Hospitality Management THON Committee,THON
School of International Affairs Student Government Association,Cultural;Community
School Psychology Student Group,Educational;Hobby
Schreyer Honors College Student Council,Community
Science and the Bible Club,Religious
Science Fiction Society at Penn State,Arts
Science Lionpride,Engineering
Science Policy Society,Community;Engineering
Scuderia at Penn State,Sport;Educational
Sculpture Club,Arts
Second Floor Stand-Up,Arts
Secular Student Alliance - Penn State Chapter,Religious;Community
Security and Risk Analysis Club,Business
Senior Class Gift Committee,Community
ServeState: Students for Philanthropy,Business;Community
Shades of Blue,Music
She's the First,THON
Sher Bhangra,Cultural;Physical Acitvity
Sideline Cancer,THON
Sigma Alpha,Greek
Sigma Apha Iota,Greek
Sigma Chi,Greek
Sigma Delta Tau,Greek
Sigma Gamma Tau,Greek
Sigma Kappa,Greek
Sigma Omicron Pi,Greek
Sigma Phi Epsilon,Greek
Sigma Pi,Greek
Sigma Tau Gamma,Greek
Sign Language Organization,Cultural
Sikh Student Organization,Religious
Silver Circle,Religious
Silver Wings,Military;Community
Sisters on the Runway: Penn State Student Division,Community
Ski (Alpine Racing),Sport
Ski (Recreational),Physical Activity
Skull and Bones Society,Community
Small and Exotic Animal Club,Hobby
Smeal Ambassadors,Business
Smeal Human Capital Student Consultants at the Pennsylvania State University,Business
Smeal Student Council,Business;Community
Smeal Student Mentors,Educational;Business
Snowboard,Physical Activity
Soaring Club,Sport
Soccer - Men,Sport
Soccer - Women,Sport
Social Justice Coalition,Cultural
Society for Advancement of Chicano/Hispanics and Native Americans in Science Chapter at Penn State,Cultural
Society for Human Resource Management Society of Labor and Employment Relations,Business
Society for Indian Music and Arts,Music;Cultural
Society for Industrial Biotechnology,Biology;Engineering
Society of Automotive Engineers,Engineering
Society of Energy Engineers,Engineering
Society of Environmental Systems Engineers,Agricultural;Engineering
Society of Hispanic Professional Engineers,Cultural;Engineering
Society of Manufacturing Engineers,Engineering
Society of Music Theory and Musicology,Music
Society of Petroleum Engineers,Engineering
Society of Physics Students,Engineering;Math
Society of Women Engineers,Cultural;Engineering
Softball,Sport
"Solar Decathlon Team of Penn State, SDPS",Agricultural;Engineering
Soles4souls at Penn State,THON
Sons of Jeffrey,Community;Sport
South Asian Student Association,Cultural
South Halls Residence Association,Community
Sovereign,Arts;Cultural
Spanish Club,Cultural
Spanish Immersion Club,Cultural
"Spanish,Italian and Portuguese Graduate Student Organization",Cultural
Spectrum Theatre Company,Arts;Acting
Speech and Debate Society,Political
Spoon University,Hobby
Sports Business Club,Sport;Business
Sports Business Conference,Sport;Business
Springfield,THON
Squash,Sport
Stages of Stages,Arts;Acting
Star Wars Club,Hobby
State of State,Community
Statistics Graduate Student Association,Math
Steel Bridge Team,Engineering
Storm Chase Team at Penn State,Meteorology
Structural Engineering Institute Graduate Student Chapter,Engineering
Student Affairs Student Organization,Community
Student Association of Environmental Science and Engineering,Agricultural;Engineering
Student Athlete Advisory Board,Sport
Student Athletic Training Club,Physical Activity;Sport
Student Chapter of American Choral Directors Association,Music
Student Chapter of Meeting Professionals International,Cultural;Community
Student Chapter of the National Association of Teachers of Singing,Music
Student Drone Racing League,Tech
Student Farm Club,Agricultural
Student Film Organization,Arts
Student Health Active Recruitment and Empowerment,Health
Student Minority Advisory and Recruitment Team,Cultural
Student National Medical Association,Health
Student Nittany Lion Club,Sport;Community
Student Nurses' Association at Penn State,Biology;Health
Student Nutrition Association,Health
Student Organization for Society and Natural Resources,Geoscience;Community
Student Organization for Sustainable Development Goals,Agricultural
Student Organization Insurance Resources,Business
Student Organization Travel Resources,Cultural
Student Pennsylvania State Education Association,Business;Educational
Student Philanthropy Council,Business;THON
Student Programming Association,Math
Student Red Cross Club,THON;Community
Student Society for Design Innovation,Engineering
Student Society of Architectural Engineers,Engineering
Student United Way,Community
Student Works at Penn State,Political
Student-Owned Learning,Educational
Student's Resorative Justice Initiative,Political
Students for Cultivating Change,LGBT;Agricultural
Students for Environmentally-Enlightened Design,Engineering;Agricultural
Students for Life,Political
Students Helping Honduras,THON
Students of Partnership for Achieving Construction Excellence,Business
Students of S.H.I.E.L.D.,Hobby
Students Organizing Multiple Arts,Arts;Community
Students Supporting Israel at Penn State,Political
Students with Schizophrenia,Community
Sunny State,Community
Super Smash Brothers Club at PSU,Hobby
Supporting Women in Geography,Cultural
Surf Club,Physical Activity
Swimming,Sport
Swing Dance Club,Arts;Physical Activity
